"filename", "language", "JavaScript", "SCSS", "XML", "CSS", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/home.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 4, 7, 32
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/home.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 15, 5, 29
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/our-sponsors/our-sponsors.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 4, 26
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/our-sponsors/our-sponsors.scss", "SCSS", 0, 57, 0, 0, 0, 0, 0, 0, 13, 70
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/upcoming-events-workshops/upcoming-events-workshops.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/upcoming-events-workshops/upcoming-events-workshops.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/latest/latest.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/latest/latest.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/luminata/luminata.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/luminata/luminata.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/mayday/mayday.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/mayday/mayday.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/meetings/meetings.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/meetings/meetings.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/membership/membership.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/membership/membership.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
