"filename", "language", "SCSS", "JSON", "Markdown", "JavaScript", "XML", "CSS", "HTML", "comment", "blank", "total"
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/mayday/mayday.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/solstice/solstice.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/solstice/solstice.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/trolloween/trolloween.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/trolloween/trolloween.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/upcoming-events.js", "JavaScript", 0, 0, 0, 43, 0, 0, 0, 0, 7, 50
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/upcoming-events.scss", "SCSS", 15, 0, 0, 0, 0, 0, 0, 0, 3, 18
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/winter-feast/winter-feast.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/events/winter-feast/winter-feast.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-inspired/get-inspired.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-inspired/get-inspired.scss", "SCSS", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-involved/card/card.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-involved/card/card.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-involved/get-involved.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/get-involved/get-involved.scss", "SCSS", 53, 0, 0, 0, 0, 0, 0, 0, 7, 60
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/hero-links/hero-links.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/hero-links/hero-links.scss", "SCSS", 69, 0, 0, 0, 0, 0, 0, 2, 12, 83
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/home.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 4, 7, 32
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/home.scss", "SCSS", 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader-image/leader-image.js", "JavaScript", 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader-image/leader-image.scss", "SCSS", 29, 0, 0, 0, 0, 0, 0, 0, 4, 33
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader-image/orange.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader-image/purple.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader-image/yellow.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/leader/leader.scss", "SCSS", 25, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/our-sponsors/our-sponsors.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 4, 26
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/our-sponsors/our-sponsors.scss", "SCSS", 53, 0, 0, 0, 0, 0, 0, 6, 15, 74
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/upcoming-events-workshops/upcoming-events-workshops.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 4, 14
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/home/upcoming-events-workshops/upcoming-events-workshops.scss", "SCSS", 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/latest/latest.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 9, 55
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/latest/latest.scss", "SCSS", 49, 0, 0, 0, 0, 0, 0, 2, 14, 65
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/meetings/meetings.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/meetings/meetings.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/membership/membership.js", "JavaScript", 0, 0, 0, 75, 0, 0, 0, 0, 4, 79
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/membership/membership.scss", "SCSS", 134, 0, 0, 0, 0, 0, 0, 0, 27, 161
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/mission/mission.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/mission/mission.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/parade/gallery/gallery.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/parade/gallery/gallery.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/parade/parade.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 6, 17
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/parade/parade.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/parade/participate/participate.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 4, 15
"/Volumes/Workspace/Web Dev/FremontArtsCouncil/src/pages/parade/participate/participate.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
